word,count
harry,196
potter,131
is,77
series,67
of,335
seven,9
fantasy,13
novels,14
written,7
by,73
british,11
author,5
rowling,58
the,731
chronicle,1
lives,5
young,5
wizard,8
and,366
his,32
friends,4
hermione,15
granger,4
ron,10
weasley,4
all,18
whom,2
are,48
students,3
at,28
hogwarts,27
school,20
witchcraft,6
wizardry,4
main,6
story,8
arc,3
concerns,1
struggle,2
against,8
lord,8
voldemort,31
dark,10
who,25
intends,1
to,171
become,2
immortal,1
overthrow,1
governing,1
body,2
known,2
as,72
ministry,7
magic,10
subjugate,1
wizards,10
muggles,6
nonmagical,3
people,6
was,61
originally,2
published,12
in,255
english,9
bloomsbury,6
united,10
kingdom,4
scholastic,4
press,2
states,7
versions,2
around,6
world,17
printed,1
grafica,1
veneta,1
italy,1
many,12
genres,2
including,10
drama,1
coming,3
age,7
which,32
includes,7
elements,7
mystery,7
thriller,2
adventure,7
horror,2
romance,3
explores,1
numerous,3
themes,10
cultural,7
meanings,1
references,1
according,5
theme,9
death,24
other,17
major,1
include,5
prejudice,3
corruption,1
madness,1
since,5
release,13
first,28
novel,16
philosopher,19
stone,23
on,69
june,9
books,75
have,40
found,4
immense,1
popularity,7
positive,2
reviews,2
commercial,2
success,9
worldwide,4
they,20
attracted,3
wide,1
adult,8
audience,3
well,2
younger,4
readers,5
often,7
considered,4
cornerstones,1
modern,1
literature,8
february,1
update,1
sold,11
more,27
than,16
million,19
copies,16
making,8
them,10
bestselling,3
book,50
history,6
been,29
translated,6
into,17
eighty,1
languages,3
last,3
four,8
consecutively,1
set,3
records,1
fastestselling,1
with,80
final,14
instalment,3
selling,3
roughly,1
within,5
twentyfour,2
hours,6
its,19
original,3
were,26
adapted,2
an,38
eightpart,1
namesake,1
film,13
warner,11
bros,10
pictures,1
total,2
value,2
franchise,4
estimated,3
billion,3
one,14
highestgrossing,1
media,3
franchises,1
time,12
cursed,2
child,2
play,4
based,5
cowritten,1
films,9
has,38
allowed,1
expand,1
derivative,4
works,4
travelling,1
exhibition,2
that,80
premiered,1
chicago,2
studio,3
tour,2
london,7
opened,7
digital,2
platform,2
updates,1
new,14
information,3
insight,1
pentalogy,1
spinoff,3
premiering,1
november,11
fantastic,5
beasts,4
where,12
find,6
among,10
developments,1
themed,1
attractions,1
collectively,1
wizarding,7
built,1
several,10
universal,8
parks,2
resorts,1
amusement,1
follows,1
life,7
boy,2
named,5
cupboard,1
under,1
stairs,1
house,4
dursleys,3
aunt,2
uncle,2
cousin,1
consider,1
themselves,4
perfectly,1
normal,1
but,18
eleven,2
discovers,3
he,32
meets,1
halfgiant,1
hagrid,1
invites,1
him,10
attend,1
learns,6
baby,1
parents,6
murdered,1
when,11
attempted,1
kill,1
curse,1
rebounded,1
survived,1
lightningshaped,1
scar,1
forehead,1
becomes,3
student,1
sorted,2
gryffindor,4
gains,2
friendship,2
member,1
large,1
poor,2
family,2
witch,1
or,11
muggle,3
parentage,2
encounters,2
potions,4
master,2
severus,2
snape,11
displays,1
dislike,1
for,69
rich,1
pureblood,1
draco,2
malfoy,3
develops,1
enmity,1
defence,2
arts,8
teacher,2
quirinus,1
quirrell,3
turns,1
out,5
be,22
allied,1
concludes,1
confrontation,1
quest,3
regain,1
yearns,1
gain,1
power,3
substance,1
bestows,1
everlasting,1
chamber,6
secrets,5
describes,2
second,10
year,11
attacked,3
petrified,1
unknown,2
creature,1
primary,1
targets,1
attacks,1
appear,1
related,2
fiftyyearold,1
ability,3
speak,1
snake,1
language,3
parseltongue,2
rare,1
associated,1
uncover,1
enter,1
it,31
sister,1
ginny,2
possessed,1
old,3
diary,3
her,19
belongings,1
memory,1
tom,3
marvolo,1
riddle,2
self,1
resided,1
inside,1
unleashed,1
basilisk,2
ancient,3
monster,1
kills,2
those,2
make,3
direct,4
eye,2
contact,1
draws,1
sword,4
from,39
sorting,4
hat,3
slays,1
destroys,1
third,4
prisoner,7
azkaban,7
targeted,2
sirius,5
black,6
escaped,1
convict,1
allegedly,1
assisted,1
murder,1
struggles,4
reaction,1
dementors,3
–,18
creatures,1
guarding,1
feed,1
despair,1
reaches,1
remus,1
lupin,4
professor,5
teaches,4
patronus,3
charm,1
windy,1
night,1
dragged,1
dog,2
shrieking,1
shack,2
follow,2
revealed,4
enters,1
explains,1
james,3
best,4
friend,1
framed,1
peter,1
pettigrew,1
hides,1
pet,4
rat,1
scabbers,1
full,2
moon,1
rises,1
transforms,1
werewolf,2
bounds,1
away,4
group,7
chase,1
after,15
surrounded,1
saved,1
mysterious,1
figure,1
casts,1
stag,1
this,18
later,10
future,1
version,7
traveled,1
back,1
using,3
turner,1
duo,1
help,2
escape,3
hippogriff,2
fourth,3
detailed,1
goblet,10
fire,10
unwillingly,1
entered,2
triwizard,2
tournament,2
contest,1
between,5
schools,3
participant,1
cedric,3
diggory,1
unusual,1
occurrence,1
causes,1
distance,1
competes,1
beauxbaton,1
durmstrang,1
alastor,1
madeye,1
moody,3
claims,2
cup,2
doing,2
so,5
teleported,1
graveyard,1
supporters,1
convene,1
reveals,1
himself,2
barty,1
crouch,1
jr,1
eater,1
manages,1
killed,4
resurrected,3
blood,5
fifth,4
order,9
phoenix,7
refuses,1
believe,2
returned,1
dumbledore,12
reactivates,1
secret,2
society,4
counter,2
meanwhile,1
appoints,1
dolores,1
umbridge,4
high,3
inquisitor,1
bans,1
defense,2
response,1
form,3
army,1
what,6
forbids,1
punished,1
disobeying,1
dreams,3
corridor,1
near,3
end,5
falsely,1
being,6
tortured,1
races,3
faces,4
eaters,4
saves,1
teenagers,1
prophecy,1
concerning,1
then,4
must,3
die,2
hands,1
sixth,1
halfblood,8
prince,9
while,10
horace,1
slughorn,2
finds,1
textbook,2
annotations,1
due,5
achieves,1
class,3
also,20
takes,1
lessons,2
viewing,2
memories,2
about,14
early,5
device,1
called,6
pensieve,1
drunken,1
used,6
teach,1
divided,1
soul,4
pieces,1
creating,1
horcruxes,1
travel,2
distant,1
lake,1
destroy,2
horcrux,4
succeed,1
weakens,1
their,15
return,2
attacking,1
ends,2
killing,1
titular,1
deathly,17
hallows,17
seventh,3
control,2
learn,1
legendary,1
items,1
lead,1
mastery,1
over,10
infiltrate,1
steal,2
locket,3
visit,1
godric,1
hollow,1
nagini,1
silver,1
doe,1
leads,1
gringotts,2
culminating,1
battle,3
paranoia,1
lends,1
before,9
dies,3
always,1
loyal,2
surrenders,1
defenders,1
continue,1
fight,2
epilogue,2
titled,2
nineteen,2
years,6
surviving,1
characters,15
impact,1
married,2
three,12
children,36
two,11
fall,1
genre,4
qualify,1
type,1
urban,1
contemporary,3
low,1
mainly,2
dramas,1
maintain,1
fairly,1
serious,3
tone,1
throughout,2
though,3
do,1
contain,3
some,9
notable,2
instances,1
tragicomedy,1
humour,1
respects,1
examples,2
bildungsroman,1
words,2
stephen,3
king,4
shrewd,1
tales,5
each,6
constructed,2
manner,1
sherlock,2
holmesstyle,1
stories,8
told,1
person,5
limited,1
point,3
view,5
very,4
few,4
exceptions,1
such,17
opening,2
chapters,2
can,4
part,7
boarding,4
rudyard,1
kipling,1
stalky,1
co,1
enid,2
blyton,2
malory,1
towers,1
st,1
clare,1
naughtiest,1
girl,1
frank,1
richards,1
billy,1
bunter,1
predominantly,1
fictional,1
curriculum,1
use,6
sense,2
line,2
descent,1
thomas,2
hughes,1
brown,1
days,2
victorian,1
edwardian,1
public,4
note,1
grittier,1
darker,1
mature,2
typical,3
addressing,1
love,4
loss,4
comingofage,1
innocence,1
s,3
setting,3
juxtaposes,1
extraordinary,1
ordinary,3
narrative,2
features,2
worlds,2
inhabited,1
another,1
featuring,3
differs,1
portal,1
magical,3
stay,1
grounded,1
mundane,1
paintings,1
move,4
talk,2
bite,1
letters,2
shout,1
messages,1
maps,1
show,2
live,3
journeys,1
both,8
exotic,1
familiar,1
blend,1
realistic,3
romantic,1
extends,1
names,2
onomatopoeic,1
difficult,2
filch,1
unpleasant,1
relatable,1
downtoearth,1
wearing,1
broken,3
glasses,1
scholar,3
roni,1
natov,1
terms,3
everychild,1
these,8
serve,1
highlight,1
heroic,1
everyman,1
fairytale,1
hero,4
course,1
problems,1
dealing,1
involves,1
need,1
violate,1
rules,2
if,3
caught,1
breaking,1
disciplined,1
professors,2
reach,1
climax,1
summer,2
term,1
just,3
exams,1
events,4
escalate,1
far,2
beyond,3
inschool,1
squabbles,1
confront,1
either,1
followers,2
stakes,1
matter,1
underlined,1
progresses,1
aftermath,1
important,1
through,11
exposition,1
discussions,1
head,2
mentor,1
albus,2
only,7
exception,1
schoolcentred,1
spend,1
most,8
there,4
face,2
dénouement,1
feature,1
imagery,3
motifs,3
